Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Steven Adams\adamsst01,C,26,OKC,24,659,20.9,.607,.005,.381,13.9,24.7,19.4,16.4,0.7,3.7,14.7,17.4,,1.6,0.9,2.5,.184,,1.3,2.8,4.1,1.0
2,Bam Adebayo\adebaba01,C,22,MIA,28,955,20.4,.610,.032,.576,8.8,25.7,17.7,21.2,2.1,3.8,18.8,19.9,,1.9,1.8,3.7,.188,,0.5,4.7,5.3,1.7
3,LaMarcus Aldridge\aldrila01,C,34,SAS,25,837,20.1,.561,.113,.245,6.5,17.0,11.7,11.5,0.9,4.7,8.3,23.2,,1.5,0.7,2.2,.126,,0.3,0.9,1.2,0.7
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,24,330,8.5,.445,.532,.103,1.2,16.7,8.7,20.3,1.3,1.1,13.8,23.7,,-0.5,0.1,-0.4,-0.051,,-3.7,-2.3,-6.0,-0.3
5,Grayson Allen\allengr01,SG,24,MEM,13,246,9.7,.533,.467,.185,0.9,15.8,8.3,10.8,0.9,0.4,13.1,19.3,,0.0,0.1,0.1,.014,,-2.4,-2.5,-4.9,-0.2
6,Jarrett Allen\allenja01,C,21,BRK,28,748,23.4,.676,.005,.580,14.6,26.2,20.6,7.8,1.2,4.2,11.6,16.3,,2.5,1.2,3.7,.240,,1.6,2.6,4.2,1.2
7,Kadeem Allen\allenka01,SG,27,NYK,1,16,20.4,.750,.667,.000,0.0,0.0,0.0,21.0,3.1,0.0,14.3,18.6,,0.1,0.0,0.1,.177,,3.4,-7.6,-4.2,0.0
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,380,7.9,.395,.419,.337,6.5,18.3,12.2,7.6,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.018,,-4.5,2.1,-2.4,0.0
9,Kyle Anderson\anderky01,PF,26,MEM,22,434,13.5,.530,.159,.310,5.9,18.9,12.3,16.2,1.7,2.6,14.6,14.4,,0.4,0.4,0.7,.080,,-1.6,1.5,-0.1,0.2
10,Ryan Anderson\anderry01,PF,31,HOU,2,14,9.8,.357,.714,.000,0.0,51.2,25.8,20.2,3.3,0.0,12.5,23.3,,0.0,0.0,0.0,-0.020,,-6.7,1.7,-5.0,0.0
11,Giannis Antetokounmpo\antetgi01,PF,25,MIL,28,876,34.8,.621,.250,.527,9.0,30.6,20.3,31.7,1.8,3.4,12.6,38.5,,3.6,2.1,5.8,.317,,8.2,4.6,12.8,3.3
