Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Milwaukee Bucks,25-4,14-2,11-2,15-2,10-2,2-1,8-0,5-1,4-1,3-0,3-1,25-4,0-0,1-1,14-1,2-2,15-1,8-1,0-0,0-0,0-0,0-0
2,Los Angeles Lakers,24-5,10-2,14-3,8-3,16-2,0-1,1-2,7-0,7-0,3-1,6-1,24-5,0-0,4-1,10-2,3-1,14-1,7-3,0-0,0-0,0-0,0-0
3,Los Angeles Clippers,21-9,14-2,7-7,8-3,13-6,3-0,1-3,4-0,5-1,3-1,5-4,21-9,0-0,4-1,14-3,4-2,10-4,7-3,0-0,0-0,0-0,0-0
4,Miami Heat,20-8,11-1,9-7,14-2,6-6,3-2,6-0,5-0,0-2,2-2,4-2,20-8,0-0,1-1,11-4,4-1,9-4,7-3,0-0,0-0,0-0,0-0
5,Philadelphia 76ers,20-9,14-1,6-8,13-5,7-4,5-2,5-0,3-3,4-3,1-1,2-0,20-9,0-0,4-2,6-2,4-0,10-6,6-3,0-0,0-0,0-0,0-0
6,Houston Rockets,19-9,10-4,9-5,8-4,11-5,1-1,3-2,4-1,3-1,4-2,4-2,19-9,0-0,3-3,7-3,3-1,10-5,6-3,0-0,0-0,0-0,0-0
7,Indiana Pacers,19-9,12-3,7-6,13-7,6-2,4-1,3-5,6-1,3-0,1-1,2-1,19-9,0-0,3-3,10-3,1-3,11-4,7-2,0-0,0-0,0-0,0-0
8,Toronto Raptors,19-8,11-3,8-5,13-4,6-4,3-2,5-1,5-1,2-0,2-2,2-2,19-8,0-0,2-0,9-5,4-1,10-3,5-4,0-0,0-0,0-0,0-0
9,Boston Celtics,18-7,10-1,8-6,11-4,7-3,5-3,3-1,3-0,1-1,3-2,3-0,18-7,0-0,2-2,10-1,3-1,10-4,5-2,0-0,0-0,0-0,0-0
10,Dallas Mavericks,18-9,8-7,10-2,7-5,11-4,1-4,4-0,2-1,2-1,3-3,6-0,18-9,0-0,2-2,9-2,3-1,9-5,6-3,0-0,0-0,0-0,0-0
11,Denver Nuggets,18-8,12-3,6-5,9-4,9-4,5-3,0-0,4-1,4-0,3-2,2-2,18-8,0-0,3-3,7-2,3-2,10-2,5-4,0-0,0-0,0-0,0-0
12,Utah Jazz,17-11,11-3,6-8,5-4,12-7,2-2,1-2,2-0,3-2,6-4,3-1,17-11,0-0,3-2,5-6,4-1,8-6,5-4,0-0,0-0,0-0,0-0
13,Brooklyn Nets,15-13,8-5,7-8,9-7,6-6,4-2,2-3,3-2,2-3,1-1,3-2,15-13,0-0,3-3,5-5,1-3,9-6,5-4,0-0,0-0,0-0,0-0
14,Charlotte Hornets,13-18,7-8,6-10,9-12,4-6,2-5,6-4,1-3,0-1,4-3,0-2,13-18,0-0,6-3,2-10,2-3,6-10,5-5,0-0,0-0,0-0,0-0
15,Oklahoma City Thunder,13-14,9-5,4-9,3-4,10-10,1-0,1-3,1-1,3-4,3-4,4-2,13-14,0-0,3-5,5-3,1-4,6-7,6-3,0-0,0-0,0-0,0-0
16,Orlando Magic,12-16,8-6,4-10,7-9,5-7,2-3,3-5,2-1,0-4,2-1,3-2,12-16,0-0,1-1,6-4,2-2,5-9,5-5,0-0,0-0,0-0,0-0
