Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Steven Adams\adamsst01,C,26,OKC,12,316,16.2,.537,.000,.356,11.7,24.3,18.2,16.3,0.9,2.1,15.2,16.5,,0.4,0.4,0.8,.121,,-1.0,2.5,1.5,0.3
2,Bam Adebayo\adebaba01,C,22,MIA,15,477,20.9,.631,.048,.698,8.6,26.7,18.2,20.5,2.6,3.9,19.5,18.4,,1.0,1.1,2.1,.216,,0.7,5.6,6.3,1.0
3,LaMarcus Aldridge\aldrila01,C,34,SAS,17,556,20.1,.577,.107,.236,6.8,15.5,11.0,11.5,0.9,4.4,10.1,22.4,,1.1,0.3,1.4,.121,,0.9,0.1,1.0,0.4
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,16,230,7.3,.436,.545,.125,0.9,16.1,8.2,21.5,1.0,0.8,14.5,24.3,,-0.3,0.0,-0.3,-0.062,,-3.8,-3.1,-6.8,-0.3
5,Grayson Allen\allengr01,SG,24,MEM,5,84,6.1,.459,.543,.343,1.3,11.5,6.4,13.0,1.1,0.0,14.8,23.3,,-0.1,0.0,-0.1,-0.061,,-4.1,-3.9,-8.0,-0.1
6,Jarrett Allen\allenja01,C,21,BRK,16,415,19.9,.662,.010,.657,12.0,25.9,19.0,5.1,1.1,4.1,13.2,15.1,,1.1,0.6,1.7,.191,,-0.4,1.7,1.2,0.3
7,Al-Farouq Aminu\aminual01,PF,29,ORL,15,322,9.1,.434,.400,.386,7.2,19.2,12.9,7.4,2.1,1.9,15.5,13.0,,-0.2,0.5,0.3,.050,,-3.9,2.5,-1.4,0.1
8,Kyle Anderson\anderky01,PF,26,MEM,15,319,15.1,.554,.184,.322,5.0,18.6,11.7,17.8,1.6,3.3,12.4,14.7,,0.4,0.2,0.7,.098,,-0.9,1.5,0.7,0.2
9,Ryan Anderson\anderry01,PF,31,HOU,2,14,9.8,.357,.714,.000,0.0,50.6,25.3,20.6,3.3,0.0,12.5,23.1,,0.0,0.0,0.0,-0.025,,-6.7,2.1,-4.5,0.0
10,Giannis Antetokounmpo\antetgi01,PF,25,MIL,16,522,32.0,.613,.231,.574,7.8,32.6,20.8,34.9,2.2,3.6,15.7,36.1,,1.7,1.3,3.1,.281,,6.8,5.6,12.3,1.9
11,Kostas Antetokounmpo\antetko01,PF,22,LAL,2,3,3.9,,,,0.0,36.2,18.3,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.081,,-9.4,-0.8,-10.3,0.0
12,Thanasis Antetokounmpo\antetth01,SF,27,MIL,3,13,8.1,.500,.000,.000,15.7,0.0,7.5,10.3,0.0,0.0,20.0,15.6,,0.0,0.0,0.0,.055,,-2.2,-2.4,-4.6,0.0
13,Carmelo Anthony\anthoca01,PF,35,POR,3,87,5.0,.418,.364,.136,3.5,11.7,7.6,8.5,1.1,0.9,14.6,26.1,,-0.3,0.0,-0.2,-0.125,,-6.4,-2.9,-9.4,-0.2
14,OG Anunoby\anunoog01,SF,22,TOR,14,408,15.8,.664,.441,.119,3.5,14.3,9.3,7.5,1.5,3.0,10.1,14.4,,0.8,0.7,1.4,.168,,1.7,2.6,4.3,0.6
